Biomarker,Protein_Gene_or_Other,Experiment_to_Measure_Biomarker,Type_of_Sample,Predictive_Prognostic_or_Diagnostic,Function_as_Biomarker,Type_of_Cancer_or_Disease,Clinical_Endpoint_or_Characteristic_in_Study,Citation,Year_of_Publication,Country_of_Participants,State_or_Region_in_Country_of_Participants
HPV Genotyping and Viral Load,DNA,HPV quantitative typing test,Not explicitly mentioned,Predictive,Predict progress of cervical lesions,Cervical Lesions (Cancer screening context),"Progression of cervical lesions; Bethesda system cytological classification (ASCUS, LSIL, HSIL, etc.)","Zhou, Y., et al. (2025). Human Papillomavirus Genotyping and Viral Load as a Predictor of Cervical Lesions - A Prospective Study. Journal of Medical Virology. [title, 571]",2025,Not explicitly mentioned,Not explicitly mentioned
uNGAL/Cr and SDMA,Protein (NGAL) and Other (SDMA),dog-specific sandwich ELISA (NGAL) and mass spectrometry (SDMA),Urine and Serum,Diagnostic and Prognostic,Indicators of tumor presence and metastatic potential (in dogs),Carcinoma and Sarcoma,Presence of metastasis; histological evidence of tumor types,"Rixon, A., et al. (2025). Influence of Carcinoma and Sarcoma on Neutrophil Gelatinase-Associated Lipocalin and Symmetric Dimethylarginine Concentrations. Journal of Veterinary Internal Medicine. [title, 579]",2025,Not explicitly mentioned,Not explicitly mentioned
Integrative cfDNA and tumor volume dynamics,Other (Multimodal Kinetic Model),K-means clustering of cfDNA NGS and CT volume parameters,Peripheral blood and chest CT scans,Prognostic,Assessment of treatment response and prognosis,Localized Non-Small Cell Lung Cancer (NSCLC),Mean progression-free survival (responder stratification: 44.2 vs 16.6 months),"Choi, J., et al. (2025). Integrative modeling of longitudinal cell-free DNA and tumor volume dynamics: a multimodal quantitative prognostic framework. Translational Lung Cancer Research. [title, 603, 611]",2025,Korea,Seoul
Lesion Stiffness,Other (Mechanical Property),Magnetic Resonance Elastography (MRE),MRI/MRE Scan (In situ),Diagnostic,"Differentiating Benign, Premalignant, and Malignant prostate lesions",Prostate Cancer,"Biopsy results and PI-RADS score correlation [title, 630, 631]","(2025). Lesion Stiffness Measured by Magnetic Resonance Elastography - A Novel Biomarker for Differentiating Benign, Premalignant and Malignant Prostate. Diagnostics. [title, 630]",2025,Turkey,Istanbul
Circulating methylated GCM2 and TMEM240,DNA,Quantitative methylation-specific PCR (QMSP),Plasma (cfDNA),Diagnostic and Prognostic,Noninvasive monitoring of breast cancer progression,Breast Cancer,Recurrence or distant metastasis; associations with tumor size and late-stage disease,"Hung, C. S., et al. (2025). Monitoring breast cancer progression through circulating methylated GCM2 and TMEM240 detection. Clinical Epigenetics. [title, 705, 718]",2025,Taiwan and USA,Taipei
miR-129,RNA,TaqMan MicroRNA qPCR,Gastric juice,Diagnostic and Prognostic,Tumor suppressor; molecular biomarker associated with vascular pathology,Gastric Cancer,"TNM staging and correlation with elevated serum biomarkers (CEA, CA 19-9, LDH2)","Birsan, S., et al. (2025). miR-129 as a Molecular Biomarker in Gastric Cancer and Its Association with Neurodegenerative and Vascular Pathology. Life. [title, 818]",2025,Not explicitly mentioned,Not explicitly mentioned
Circulating tumor DNA (ctDNA),DNA,personalized multiplex PCR-NGS assays (Signatera™),Plasma,Prognostic,Predicting early recurrence detection in patients,Merkel cell carcinoma (MCC),Median time to clinical recurrence following curative treatment,"Akaike T, Thakuria M, Silk AW, et al. Circulating tumor DNA level is associated with time to clinical recurrence in Merkel cell carcinoma: Implications for patient management. J Am Acad Dermatol. 2026; 92.",2026,United States,"Washington, Massachusetts, California, Illinois, Florida, Texas"
Cytokeratin 19-Fragments (CYFRA 21-1),Protein,Luminex x MAP technology,Serum,Diagnostic,Assessing clinical significance and emerging phenotypes,Pancreatic Adenocarcinoma,ROC curve diagnostic accuracy and correlation with weight loss,"Dima AC, Balaban DV, Stanescu-Spinu II, et al. Clinical Significance of Cytokeratin 19-Fragments (CYFRA 21-1), Osteopontin (OPN) and Human Epididymis Protein 4 (HE4) in Pancreatic Adenocarcinoma. Int J Mol Sci. 2026; 27(3): 1562.",2026,Romania,Bucharest
Osteopontin (OPN),Protein,Luminex x MAP technology,Serum,Diagnostic,Evaluation of diagnostic accuracy for adenocarcinoma,Pancreatic Adenocarcinoma,Multivariate analysis predictor performance for cancer detection,"Dima AC, Balaban DV, Stanescu-Spinu II, et al. Clinical Significance of Cytokeratin 19-Fragments (CYFRA 21-1), Osteopontin (OPN) and Human Epididymis Protein 4 (HE4) in Pancreatic Adenocarcinoma. Int J Mol Sci. 2026; 27(3): 1562.",2026,Romania,Bucharest
Human Epididymis Protein 4 (HE4),Protein,Luminex x MAP technology,Serum,Diagnostic,Assessing value as a poorly characterized marker,Pancreatic Adenocarcinoma,Area under the receiver operating characteristic curve,"Dima AC, Balaban DV, Stanescu-Spinu II, et al. Clinical Significance of Cytokeratin 19-Fragments (CYFRA 21-1), Osteopontin (OPN) and Human Epididymis Protein 4 (HE4) in Pancreatic Adenocarcinoma. Int J Mol Sci. 2026; 27(3): 1562.",2026,Romania,Bucharest
Ki-67,Protein,Immunohistochemical (IHC) profiling,Tumor tissue,Prognostic,Acting as a marker of proliferative activity,Hepatocellular Carcinoma (HCC),Quantification of proliferating cells in patient-derived organoids,"Lo Re O, Corti C, Cerrito L, et al. Establishment of Patient-Derived Organoids from Hepatocellular Carcinoma: Preliminary Data on Yield, Histopathological Concordance, and Methodological Challenges. Cells. 2026; 15.",2026,Italy,"Rome, Palermo"
IVIM-derived pure diffusion coefficient (D),Other (MRI metric),Intravoxel incoherent motion (IVIM) MRI,In situ (nasopharyngeal tumor),Predictive,Predicting short-term therapeutic response to CCRT,Nasopharyngeal Carcinoma (NPC),Classification into complete vs. non-complete response at 6 months,"Zhao C, Xie L, He M, et al. Non-invasive imaging biomarkers of cellular injury and proliferation in nasopharyngeal carcinoma: insights from multiparametric MRI. Front Cell Dev Biol. 2025; 13: 1684620.",2025,China,"Yichang, Hubei"
DCE-derived volume transfer constant (Ktrans),Other (MRI metric),Dynamic contrast-enhanced MRI (DCE-MRI),In situ (nasopharyngeal tumor),Predictive,Reflecting tissue perfusion and permeability for efficacy,Nasopharyngeal Carcinoma (NPC),Predictive accuracy for 6-month therapeutic response to chemotherapy,"Zhao C, Xie L, He M, et al. Non-invasive imaging biomarkers of cellular injury and proliferation in nasopharyngeal carcinoma: insights from multiparametric MRI. Front Cell Dev Biol. 2025; 13: 1684620.",2025,China,"Yichang, Hubei"
Intratumoral and peritumoral radiomic features,Other (High-dimensional image data),Multiparametric 3T breast MRI,In situ (breast tissue),Predictive,noninvasively characterizing tumor microenvironment status,Invasive breast cancer,Mean area under the ROC curve for predicting TME components,"Kim ES, Ham S, Seo BK, et al. Optimized prediction of breast cancer tumor microenvironment using MRI-based intratumoral and peritumoral radiomics: a prospective study. Front Oncol. 2025; 15: 1654508.",2025,South Korea,Ansan
Prostate cancer antigen 3 (PCA3),Other (noncoding RNA),Validated assay / Diagnolita urinary test,Urine,Diagnostic,Enhancing detection of clinically significant cancer,Prostate cancer (PCa),AUC for PCa detection compared to PCPTRC2,"Kemesiene J, Nicolau C, Cholstauskas G, et al. Performance of PCA3 and TMPRSS2:ERG Within the Prostate Cancer Prevention Trial Risk Calculator Version 2 in a Lithuanian Cohort. Res Rep Urol. 2025; 17: 95-103.",2025,Lithuania,"Kaunas, Vilnius"
TMPRSS2:ERG gene fusion (T:E),DNA,Validated assay / Diagnolita urinary test,Urine,Diagnostic,Enhancing detection of clinically significant cancer,Prostate cancer (PCa),Partial AUC sensitivity range for high-grade disease,"Kemesiene J, Nicolau C, Cholstauskas G, et al. Performance of PCA3 and TMPRSS2:ERG Within the Prostate Cancer Prevention Trial Risk Calculator Version 2 in a Lithuanian Cohort. Res Rep Urol. 2025; 17: 95-103.",2025,Lithuania,"Kaunas, Vilnius"
VEGF-A,Protein,chemiluminescence technique,Serum,Prognostic,Predicting survival in bevacizumab-treated patients,Metastatic Colorectal cancer (CRC),24-month death risk from diagnosis or treatment initiation,"Moisuc DC, Marinca MV, Gafton B, et al. Predicting Survival in Bevacizumab-Treated Colorectal Cancer: Personalized Mathematical Models Based on Clinical and Angiogenic Biomarkers. Int J Mol Sci. 2025; 26: 9332.",2025,Romania,Iasi
VEGF-D,Protein,chemiluminescence technique,Serum,Prognostic,Predicting survival in bevacizumab-treated patients,Metastatic Colorectal cancer (CRC),24-month mortality assessment adjusted for clinical factors,"Moisuc DC, Marinca MV, Gafton B, et al. Predicting Survival in Bevacizumab-Treated Colorectal Cancer: Personalized Mathematical Models Based on Clinical and Angiogenic Biomarkers. Int J Mol Sci. 2025; 26: 9332.",2025,Romania,Iasi
Soluble B-Cell Maturation Antigen (sBCMA),Protein,Human BCMA/TNFRSF17 DuoSet ELISA,Peripheral blood,Predictive,Monitoring early treatment efficacy and response,Multiple myeloma (MM),percentage decrease at 1 and 6 months post-therapy,"Caponi L, Del Giudice ML, Botti A, et al. Predictive Role of Soluble B-Cell Maturation Antigen in Short-Term Monitoring of Differently Treated Multiple Myeloma Patients: A Prospective Study. J Clin Lab Anal. 2025.",2025,Italy,Pisa
Lymphocyte-to-Monocyte Ratio (LMR),Other (inflammation score),Complete blood count with differential,Peripheral blood,Prognostic,Predicting survival outcomes in advanced disease,Unresectable Biliary tract cancer (BTC),Median survival time compared between high/low LMR groups,"Suzuki H, Kuwano A, Takahira J, et al. Prognostic Significance of Lymphocyte-to-Monocyte Ratio in Patients With Unresectable Biliary Tract Cancer Undergoing Systemic Chemotherapy. Cancer Diagn Progn. 2025; 5: 132-137.",2025,Japan,"Iizuka, Fukuoka"
Genomic DNA (gDNA),DNA,Extraction and quantification method,Serum,Prognostic,predicting clinical outcomes in metastatic patients,Epithelial Ovarian Cancer (EOC),Hazard ratio for overall survival at 47 months,"Ricciuti J, Liu Q, Khan ANMH, et al. Prognostic Significance of Serum Complement Activation, Neutrophil Extracellular Traps and Extracellular DNA in Newly Diagnosed Epithelial Ovarian Cancer. Gynecol Oncol. 2025; 193: 49-57.",2025,United States,"Buffalo, NY; Pittsburgh, PA"
Myeloperoxidase (MPO),Protein,Concentration measurement,Serum,Prognostic,Indicating neutrophil activation and worse survival,Epithelial Ovarian Cancer (EOC),12-month progression-free survival in stage III-IV patients,"Ricciuti J, Liu Q, Khan ANMH, et al. Prognostic Significance of Serum Complement Activation, Neutrophil Extracellular Traps and Extracellular DNA in Newly Diagnosed Epithelial Ovarian Cancer. Gynecol Oncol. 2025; 193: 49-57.",2025,United States,"Buffalo, NY; Pittsburgh, PA"
ctDNA and ctRNA (LiquidHALLMARK),DNA and RNA,Amplicon-based next-generation sequencing,blood/plasma,Diagnostic,Identifying guideline-recommended molecular alterations,Metastatic Non-Small Cell Lung Cancer (NSCLC),diagnostic yield of gene rearrangements and overall sensitivity,"Samol J, Ng D, Poh J, et al. Prospective Multicenter Study Evaluating a Combined Circulating Tumor DNA and Circulating Tumor RNA Liquid Biopsy in Metastatic Non–Small Cell Lung Cancer (LIQUIK). JCO Precis Oncol. 2025; 9.",2025,"United States, Singapore",-
Serum gp100,Protein,commercial ELISA kit,Serum,Prognostic,predicting metastatic development and clinical risk,Early-Stage Uveal Melanoma (UM),Occurrence of metastatic disease during follow-up period,"Bande MF, Piñeiro C, Lago-Baameiro N, et al. Serum gp100 as an Independent Prognostic Biomarker in Early-Stage Uveal Melanoma. Invest Ophthalmol Vis Sci. 2025; 66(6): 80.",2025,Spain,Santiago de Compostela
Serum lactate and pyruvate,Other (metabolites),high-performance liquid chromatography-tandem mass spectrometry,Serum,Predictive,Predicting chemoimmunotherapy efficacy and survival,Advanced Gastric Cancer,6-month progression-free and 12-month overall survival rates,"Liu C, Dai Y, Wang J, et al. Serum pyruvate and lactate predict immunotherapy efficacy in advanced gastric cancer: a prospective biomarker study. Front Immunol. 2025; 16: 1663362.",2025,China,"Huai’an, Jiangsu"
AFP-L3 and DCP,Protein,?TASWakoi30 assay,Plasma,Prognostic,Monitoring residual disease and progression risk,Unresectable Hepatocellular Carcinoma (HCC),Duration of overall complete response and overall survival,"Núñez K, Sandow T, Burton J, et al. Sustained AFP-L3 or DCP expression is associated with progression risk and inferior outcomes in unresectable hepatocellular carcinoma. Clin Exp Med. 2025; 25: 328.",2025,United States,Louisiana
Cytoplasmic Galectin-3 (Gal-3),Protein,Immunohistochemistry (clone 9C4),Tumor and immune cells,Predictive,serving as a biomarker for chemotherapy response,Unresectable Non-Small Cell Lung Cancer (NSCLC),16.81-month overall survival in high-expression subgroups,"Aazzane O, Mellouki A, Fathi S, et al. The Predictive Significance of Galectin 3 Expression in Patients with Unresectable Non-Small Cell Lung Cancer without EGFR or ALK Mutations Treated Platinum-Based Doublet Chemotherapy. Asian Pac J Cancer Prev. 2025; 26(4): 1407-1419.",2025,Morocco,Casablanca
Circulating tumor cell (CTC) count,Other (cells),modified isolation by size (ISET),blood,Diagnostic,Differentiating between benign and malignant nodules,Pulmonary Nodules (PNs),diagnostic sensitivity and specificity for Identifying malignancy,"Wang S, Xu C, Xu X, et al. The Role of Circulating Tumor Cell as a Promising Biomarker in the Evaluation of Pulmonary Nodules: A Prospective Study. Cancer Res Treat. 2026; 58(1): 128-140.",2026,China,Beijing
Chlamydia pneumoniae (Cpn) IgA,Other (antibody),micro-immunofluorescence kit,Serum,Prognostic,association between chronic infection and prognosis,Primary Lung Cancer,five-year survival rate following surgical diagnosis,"Liu M, Ye H, Lin T, et al. The association between Chlamydia pneumoniae infection and prognosis in lung cancer patients: a prospective study. BMC Infect Dis. 2025; 25: 119.",2025,China,Fuzhou
Transient hepatic intensity differences (THID),Other (MRI finding),contrast-enhanced MRI,In situ (liver scans),Predictive,Predicting treatment outcomes and adverse events,Hepatocellular Carcinoma (HCC),progression-free survival and overall survival post-TACE,"Opara NC, Zhou S, et al. Transient hepatic intensity differences: correlations with treatment outcomes and adverse events following DEB-TACE in unresectable hepatocellular carcinoma. Insights Imaging. 2025.",2025,-,-
soluble CD36 (sCD36),Protein,human sCD36 ELISA kit,Serum,Prognostic,predicting progression and recurrence risk,T2DM-Associated Hepatocellular Carcinoma,"Recurrence rates at 1, 3, 6, and 12 months","Dai W, Yang F, et al. sCD36 as a Biomarker for Progression and Recurrence in Type 2 Diabetes Mellitus Associated Hepatocellular Carcinoma. J Hepatocell Carcinoma. 2025.",2025,China,Chongqing
